Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;ValorBruto;ValorPorM2;ValorBrutoPorM2;TipoAgregado
Quitinete;Copacabana;1;0;0;25;1950.0;310.0;25.0;2285.0;78.0;91.4;Apartamento
Casa de Condomínio;Barra da Tijuca;3;2;3;450;8500.0;850.0;5863.0;15213.0;18.88888888888889;33.806666666666665;Casa
Apartamento;Barra da Tijuca;2;1;2;101;3100.0;1540.0;302.0;4942.0;30.693069306930692;48.93069306930693;Apartamento
Apartamento;Ipanema;3;1;1;121;3900.0;1700.0;326.0;5926.0;32.231404958677686;48.97520661157025;Apartamento
Apartamento;Barra da Tijuca;3;2;1;125;2600.0;1605.0;341.0;4546.0;20.8;36.368;Apartamento
Apartamento;Botafogo;2;1;1;93;2000.0;1300.0;170.0;3470.0;21.50537634408602;37.31182795698925;Apartamento
Apartamento;Barra da Tijuca;3;2;3;155;5900.0;1850.0;340.0;8090.0;38.064516129032256;52.193548387096776;Apartamento
Apartamento;Leme;1;0;0;44;1300.0;560.0;69.0;1929.0;29.545454545454547;43.84090909090909;Apartamento
Apartamento;Copacabana;2;0;1;80;2900.0;980.0;190.0;4070.0;36.25;50.875;Apartamento
Apartamento;Pechincha;3;1;0;153;2200.0;1100.0;1953.0;5253.0;14.379084967320262;34.333333333333336;Apartamento
Casa;Lins de Vasconcelos;2;1;0;80;850.0;520.0;12.0;1382.0;10.625;17.275;Casa
Casa;Rocha Miranda;1;0;0;55;800.0;0.0;0.0;800.0;14.545454545454545;14.545454545454545;Casa
Apartamento;Botafogo;2;1;1;80;3300.0;717.0;142.0;4159.0;41.25;51.9875;Apartamento
Apartamento;Barra da Tijuca;2;2;1;144;2200.0;1700.0;0.0;3900.0;15.277777777777779;27.083333333333332;Apartamento
Apartamento;Recreio dos Bandeirantes;2;1;1;66;1700.0;861.0;0.0;2561.0;25.757575757575758;38.803030303030305;Apartamento
Apartamento;São Conrado;2;1;1;78;2600.0;1100.0;2600.0;6300.0;33.333333333333336;80.76923076923077;Apartamento
Apartamento;Leblon;3;1;1;107;7000.0;1794.0;250.0;9044.0;65.42056074766356;84.5233644859813;Apartamento
Apartamento;Leblon;1;0;0;50;1900.0;780.0;0.0;2680.0;38.0;53.6;Apartamento
Apartamento;Todos os Santos;2;0;1;47;1400.0;400.0;13.0;1813.0;29.78723404255319;38.57446808510638;Apartamento
Apartamento;Barra da Tijuca;3;2;1;120;2900.0;1500.0;310.0;4710.0;24.166666666666668;39.25;Apartamento
Apartamento;Copacabana;3;1;1;140;5000.0;1500.0;250.0;6750.0;35.714285714285715;48.214285714285715;Apartamento
Apartamento;Tijuca;1;0;0;59;1250.0;500.0;0.0;1750.0;21.1864406779661;29.661016949152543;Apartamento
Casa;Irajá;2;0;0;70;1100.0;0.0;0.0;1100.0;15.714285714285714;15.714285714285714;Casa
Apartamento;Gávea;2;1;1;95;4000.0;1000.0;280.0;5280.0;42.10526315789474;55.578947368421055;Apartamento
Apartamento;Curicica;2;1;0;46;1300.0;500.0;13.0;1813.0;28.26086956521739;39.41304347826087;Apartamento
Apartamento;Jardim Guanabara;5;3;2;185;4000.0;988.0;176.0;5164.0;21.62162162162162;27.913513513513514;Apartamento
Apartamento;Vila Isabel;2;0;1;85;1500.0;380.0;82.0;1962.0;17.647058823529413;23.08235294117647;Apartamento
Apartamento;Leblon;4;3;2;202;12000.0;1700.0;450.0;14150.0;59.40594059405941;70.04950495049505;Apartamento
Apartamento;Anil;1;1;0;40;1100.0;320.0;13.0;1433.0;27.5;35.825;Apartamento
Apartamento;Copacabana;1;0;0;42;1800.0;460.0;78.0;2338.0;42.857142857142854;55.666666666666664;Apartamento
Apartamento;Leblon;4;2;1;160;4500.0;1348.0;350.0;6198.0;28.125;38.7375;Apartamento
Apartamento;Freguesia (Jacarepaguá);3;1;1;78;1800.0;680.0;125.0;2605.0;23.076923076923077;33.3974358974359;Apartamento
Apartamento;Méier;2;0;0;50;750.0;350.0;0.0;1100.0;15.0;22.0;Apartamento
Apartamento;Ipanema;3;2;2;300;20000.0;2020.0;850.0;22870.0;66.66666666666667;76.23333333333333;Apartamento
Apartamento;Centro;1;0;0;35;1100.0;340.0;20.0;1460.0;31.428571428571427;41.714285714285715;Apartamento
Apartamento;Anil;2;1;1;60;1200.0;125.0;0.0;1325.0;20.0;22.083333333333332;Apartamento
Apartamento;Copacabana;3;1;1;160;3800.0;1560.0;300.0;5660.0;23.75;35.375;Apartamento
Apartamento;Maracanã;3;2;1;110;1350.0;1286.0;0.0;2636.0;12.272727272727273;23.963636363636365;Apartamento
Apartamento;Penha;2;1;0;120;850.0;400.0;0.0;1250.0;7.083333333333333;10.416666666666666;Apartamento
Apartamento;Jardim Botânico;2;0;0;90;3950.0;530.0;70.0;4550.0;43.888888888888886;50.55555555555556;Apartamento
Apartamento;Copacabana;3;1;1;150;3500.0;1130.0;0.0;4630.0;23.333333333333332;30.866666666666667;Apartamento
Casa de Condomínio;Freguesia (Jacarepaguá);3;2;1;143;2600.0;725.0;171.0;3496.0;18.181818181818183;24.447552447552447;Casa
Apartamento;Barra da Tijuca;3;2;1;150;4500.0;1300.0;440.0;6240.0;30.0;41.6;Apartamento
Quitinete;Vila Isabel;1;0;0;16;980.0;80.0;0.0;1060.0;61.25;66.25;Apartamento
Apartamento;Gávea;3;1;1;148;6000.0;900.0;2300.0;9200.0;40.54054054054054;62.16216216216216;Apartamento
Apartamento;Pechincha;2;1;1;64;1400.0;708.0;1011.0;3119.0;21.875;48.734375;Apartamento
Apartamento;Barra da Tijuca;3;1;1;86;3000.0;1100.0;120.0;4220.0;34.883720930232556;49.06976744186046;Apartamento
